date,ts,source,value,target,coin
2019-1-26,2019-01-26T21:50:49.000Z,0x25b8cce3fd037c11226c64980e4128480a932ebc,0.85,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T21:50:49.000Z,0x25b8cce3fd037c11226c64980e4128480a932ebc,0.85,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T20:17:39.000Z,0xf62496dc2e3d01c9ae412dadafbe9e7d52d3f2f9,12.2,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T19:16:34.000Z,0x440caa860aeb6a8dd4605a9dd3619501153a20fd,0.855,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T19:16:34.000Z,0x440caa860aeb6a8dd4605a9dd3619501153a20fd,0.855,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T19:16:34.000Z,0x440caa860aeb6a8dd4605a9dd3619501153a20fd,0.855,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T18:21:42.000Z,0x03bc5bb7cb596b74225261515fc927f494dfb45e,0.42,0x440caa860aeb6a8dd4605a9dd3619501153a20fd,ETH
2019-1-26,2019-01-26T21:39:03.000Z,0x3a306a399085f3460bbcb5b77015ab33806a10d5,100.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T21:39:03.000Z,0x3a306a399085f3460bbcb5b77015ab33806a10d5,100.0,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T17:55:15.000Z,0x42a587b017fb534b4b9333a0201363b754e470e2,191.23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T17:55:15.000Z,0x42a587b017fb534b4b9333a0201363b754e470e2,191.23,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T18:41:42.000Z,0x378e65b90bc08e4405996f876596a33350457dd5,1.5,0xc236d1b1d39e7534d664ca4b0318c9ce4018226f,ETH
2019-1-26,2019-01-26T21:21:49.000Z,0x4fed5cffa59895d9fbb944689e0b9aded8fb3ff9,3.25,0x48dea43e23dd4b27e1997c7f582c5ea100998ac5,ETH
2019-1-26,2019-01-26T20:16:13.000Z,0x3a306a399085f3460bbcb5b77015ab33806a10d5,1.5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T20:16:13.000Z,0x3a306a399085f3460bbcb5b77015ab33806a10d5,1.5,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T18:23:36.000Z,0x94a022c1273c605b79fc3a5d75f19ec132fe0b0c,3.2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T18:23:36.000Z,0x94a022c1273c605b79fc3a5d75f19ec132fe0b0c,3.2,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T18:23:36.000Z,0x953ef149ca90fa1e3518c56178cba0346d8047bf,3.2,0x94a022c1273c605b79fc3a5d75f19ec132fe0b0c,ETH
2019-1-26,2019-01-26T21:27:46.000Z,0x7284a8451d9a0e7dc62b3a71c0593ea2ec5c5638,0.006,0x3a306a399085f3460bbcb5b77015ab33806a10d5,ETH
2019-1-26,2019-01-26T16:16:50.000Z,0x436717580173503fb7818f1b11b33e058f8b93c9,40.16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T16:16:50.000Z,0x436717580173503fb7818f1b11b33e058f8b93c9,40.16,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T18:47:03.000Z,0x40fda8511de0bedf3596e2f72ca3cedf28bf5868,2.42,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T19:49:47.000Z,0xfc7bd09fdf9671a4c6722ad67bb30f562ca52f01,2.1,0xf62496dc2e3d01c9ae412dadafbe9e7d52d3f2f9,ETH
2019-1-26,2019-01-26T19:16:34.000Z,0x03bc5bb7cb596b74225261515fc927f494dfb45e,0.855,0x440caa860aeb6a8dd4605a9dd3619501153a20fd,ETH
2019-1-26,2019-01-26T16:24:45.000Z,0x411bf6b483f04349229a0f1b09bf4c17468068d3,1.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T16:24:45.000Z,0x411bf6b483f04349229a0f1b09bf4c17468068d3,1.0,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
